"subject","predicate","object","graph"
"b12_b3236023","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3329047",""
"b12_b3236024","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236024","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3329048",""
"b12_b3236025","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236025","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3329049",""
"b12_b3236026","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236026","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3329058",""
"b12_b3236027","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236027","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3329059",""
"b12_b3236028","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236028","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3329061",""
"b12_b3236029","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236029","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3329200",""
"b12_b3236030","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236030","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3330738",""
"b12_b3236031","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236031","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC333621",""
"b12_b3236032","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236032","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3340274",""
"b12_b3236033","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236033","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC334071",""
"b12_b3236034","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236034","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3341081",""
"b12_b3236035","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236035","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3341824",""
"b12_b3236036","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236036","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC334213",""
"b12_b3236037","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236037","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC334375",""
"b12_b3236038","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236038","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC334548",""
"b12_b3236039","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236039","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3346300",""
"b12_b3236040","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236040","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3346302",""
"b12_b3236041","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236041","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3346314",""
"b12_b3236042","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236042","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3346393",""
"b12_b3236043","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236043","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3346415",""
"b12_b3236044","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236044","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3347096",""
"b12_b3236045","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236045","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3347125",""
"b12_b3236046","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236046","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3347275",""
"b12_b3236047","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236047","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3347282",""
"b12_b3236048","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236048","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3347293",""
"b12_b3236049","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236049","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3347300",""
"b12_b3236050","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236050","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3347302",""
"b12_b3236051","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236051","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3347304",""
"b12_b3236052","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236052","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3347313",""
"b12_b3236053","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236053","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3347339",""
"b12_b3236054","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236054","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3347359",""
"b12_b3236055","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
